2011-10-10	Don't forget to register for a partner meetup at YouTube HQ in San Bruno Oct 18! Signup closes Oct 11. Info at http://t.co/hi2Fr5Dj
2011-11-29	Tip for processing delays: large files (1GB+) should be scheduled publishes to avoid this issue
2014-06-27	60 FPS: Motion-intense videos will look even better on @YouTube when we launch support for 48 and even 60 frames per second, coming soon.
2014-06-27	Introducing Fan Funding: A way for fans to donate so you can help make more videos they love. Sign up at http://t.co/e0mCjDJReY
2014-06-27	YouTube Creator Studio: Manage videos &amp; see analytics on the go with our new app. Get it @ Google Play now &amp; iOS soon http://t.co/g94RmTH4Jn
2015-04-23	#TBT to when @danisnotonfire found the courage to make his first video. WE'RE SO GLAD HE DID. http://t.co/ZGc93PaCbB http://t.co/DMofOiy6dS
2015-06-30	HFR FTW! High frame rate playback is available on the YouTube App for both Android and iOS. http://t.co/aW3xublLVh http://t.co/D5qnyONolX
2015-07-24	Introducing a new Creator Reward: the Diamond Play Button. https://t.co/XaE6j0oy9c #VidCon #VidConAnnouncements http://t.co/bKTD58EtnU
2015-07-25	Met these short shorties @danisnotonfire @AmazingPhil after the panel! http://t.co/uCGqOrdFLL
2015-08-05	We're saying goodbye to 301+ and hello to more up-to-date video views. http://t.co/33OQuOvxcs
2016-04-28	Creators, today we're announcing an improvement to Content ID. Find out more here: https://t.co/pICqXbQTs3 https://t.co/cTMgSh31YZ
2016-05-29	When in Vatican City ... @Pontifex #PopewithYTcreators https://t.co/yi5QUZHnAi
2016-08-26	Life can be complicated but live-streaming shouldn’t be. Stream Now is new &amp; improved. https://t.co/iYVWRWyqwt
2017-02-07	Stand out 🙋 Get connected 📡 Super Chat: Our newest tool that lets fans pay for a front-row seat into your video → https://t.co/xQuhPyJNwq https://t.co/PPmh52VpS6
2017-03-20	A message to our community ... https://t.co/oHNiiI7CVs
2017-03-20	Sorry for all the confusion with Restricted Mode. Some videos have been incorrectly labeled and that’s not right. We're on it! More to come.
2017-12-06	How many times have you watched #YouTubeRewind? https://t.co/Ta4KNzXOH0
2018-01-16	We've made updates to the YouTube Partner Program to strengthen our community &amp; prevent impersonators + spammers from harming our platform. We understand this affects many channels, but believe it's necessary to protect our creators. For the full update https://t.co/phnMnAHDaD
2018-02-09	In response to Logan Paul’s recent pattern of behavior, we’ve temporarily suspended ads on his channels.
2018-05-31	#TBT to when @Gman250 gifted the internet with the iconic Numa Numa guy https://t.co/BVeLmWTTcU https://t.co/DSisvUf72Q
2018-05-31	Today's #CreatorOnTheRise is musician @NahreSol. She brings her keyboard to the park, beach, and car, and brings her spin on classical music to the YouTube generation 🎹 🎼 https://t.co/Z0uXuC7HYD https://t.co/PEgzwU226Y
2018-06-13	Choreographer @kylehanagami dedicated his most recent video, an interpretation of @samsmithworld's Him, to "everyone who is brave enough to still love in the light and to those who still Love in the Dark." #ProudtoCreate #LoveIsLove https://t.co/9wABYjDBsN
2018-06-22	Announcing a new way to sell merch on YouTube We've joined forces with @teespring so creators can customize and sell over 20 merch items right from their channels. Check it out here → https://t.co/9LkeymAL8o #VidConYouTube
2018-06-30	Do you want to see the world's longest lightsaber? Now you can watch @CorridorDigital make that dream a reality! →https://t.co/Wzxslbxk58 https://t.co/SPZrh8kfXV
2018-07-01	Happy #CanadaDay! 🇨🇦 Who are your favorite Canadian YouTube creators?
2018-07-03	It's almost #4thofJuly2018! Who are your favorite American YouTube creators?🇺🇸
2018-07-12	❤️-ing and replying to comments from your fans is a great way to build community on your YouTube channel. Get more quick tips on how to build your fan family from this Creator Academy video! → https://t.co/L09THs2lI9 https://t.co/ZTM7Lh1e6U
2018-08-02	Felicidades @PlaticaPolinesi for reaching 10 MILLION subscribers on 3 different channels! #YouTubeCreatorAwards goals right here. 🎉🥳 https://t.co/8zk00V0cW4
2018-08-03	Happy #NationalTwinDay! On YouTube, being a twin is a really big deal. So in honor of this holiday, @Refinery29 featured YouTube creator twins, @BrookAndBailey, @dobremarcus, @lucasdobre, @EthanDolan, @GraysonDolan, @MerrellTwins! https://t.co/EKIuYO2SMj
2018-08-06	It's okay to take personal time for yourself! You're not a mindless work zombie in a hamster ball! Wise words (and beautiful animation) from @JaidenAnimation on how to avoid burnout and overwork→https://t.co/vT5hWMl2yo https://t.co/OwVadh5vn5
2018-08-16	Congrats to BTS and #BTSArmy on your YouTube Diamond Play Button! #YouTubeCreatorAwards
2018-08-24	CreatorSummit_Final.mov 🎬 Signing off from #CreatorSummit Asia-Pacific 💕 https://t.co/uAgbV99pWd
2018-09-11	Taking a 🥨 break with @HumzaProduction, @Nadia_Sunshine and @SuperSaf! #CreatorSummit https://t.co/A1OJ1Tx5BG
2018-09-13	The Creator Insider team did the research: When YouTube channels took 2 weeks off from publishing videos, views the returning week was higher than those the week before they took a break. So go on vacation. YouTube will be there for you when you get back! https://t.co/J0EacdyxY2
2018-09-20	Happy #HispanicHeritageMonth! It’s a #YouTubeLatino party right now with @theFlama, @TheCrazyGorilla and @0hgaby 🎊🎉 https://t.co/yjcOJ40jaK
2018-10-01	Congrats ! ! !🎈🎉 #BIGBANG #YouTubeCreatorAwards
2018-10-09	WHO: Will Smith and @lizakoshy WHAT: Hydrofoil surfing competition WHERE: Welcome to Miami WHEN: 2018 (like this couldn't have happened at any other time) WHY: Because just watch how much fun they are having→https://t.co/zvtckBmeMZ https://t.co/eqSHfEwlIE
2018-10-11	Happy #DayOfTheGirl ! Who are your favorite girl and lady creators?
2018-10-16	When @RhettandLink found out that @ColleenB123 was one of the few non-vegetarians on Earth who don't like bacon, they set out to change her mind. If this amazing musical won't convince her, not sure what can 🥓→https://t.co/nwOT7GzxMU #FoodFears #GMA https://t.co/P9ClFkU96i
2018-10-19	GET EXCITED!!! #YouTubeBlackFF is coming soon! Who are you most excited to watch?! https://t.co/hwSZOEdN5i https://t.co/36gwBYpq2s
2018-10-22	⭐️Premieres is now available to EVERYONE! ⭐️ Invite fans to tune in via a new watch page, and use Live Chat as you countdown and watch your Premiere together. Learn more on YouTube Creators channel→https://t.co/B7evEceYXv https://t.co/QKihl9SZlD
2018-10-23	The #STREAMYS are live now! Tune in https://t.co/Y5lGwdrzT6 https://t.co/Gt2deYD5FU
2018-10-25	#YouTubeBlack: Class of 2018 https://t.co/bzXYAfqKRi
2018-10-26	To celebrate 10 million subscribers, @NikkieTutorials creates a shiny makeup look in honor of her new friend, the diamond play button!💋💎→ https://t.co/99ZaVUlK0i #YouTubeCreatorAwards https://t.co/rICMLoycsU
2018-10-29	Ready for your shoot? Learn how to capture the perfect angle, lighting, and sound for your YouTube videos in the newest course from the Creator Academy https://t.co/Eq1e55QOJW
2018-11-13	As of now, UK is still a part of the EU. So YouTube and other platforms may have no choice but to block your existing videos and prevent you from uploading new ones in the European Union unless you can prove you own everything in your videos. #SaveYourInternet
2018-11-13	Lots of you have questions about what Article 13 could mean for your livelihood as creators. We're going to try to answer them here! Don't see your question answered? Ask us below #SaveYourInternet
2018-11-13	Merch is expanding! Eligible creators can now sell @teespring merchandise to viewers in the United States, United Kingdom, France, Germany, Spain, Italy, Netherlands, and Portugal. Learn how to give the gift of Merch this holiday season: https://t.co/zJC2vHAT4y 🎁👕 https://t.co/DepMch8ZHr
2018-11-14	😍=@Sofiaalcastro 😍=@ppteamkaren 😍= @craftingeek Love these ladies! #creatorsummit https://t.co/bG8FwqwBiG
2018-11-19	⚡️ “What is Article 13?” We explain more here ⬇️ #SaveYourInternet https://t.co/y6vB2pmV0Z
2018-11-20	Community tab is now available for creators with 1,000+ subscribers! Go forth and post → https://t.co/jV3IiiMWQb https://t.co/zjJ0Sbu5xV
2018-11-30	"One time on Twitter I heard Ariana was pregnant, so I got pregnant so we could be pregnant at the same time. Turns out it was just a rumor." @ColleenB123, #thankUnextMusicvideo → https://t.co/jOBodfRU6u https://t.co/l8ptpL1evx
2018-12-20	Look what @DavidDobrik got for Christmas this year— A diamond play button to celebrate 10 MILLION subscribers! 💎 #YouTubeCreatorAwards https://t.co/HdCJS8kZXF
2018-12-31	What creators did you discover in 2018 that you now love? #HappyNewYear
2019-01-09	If you could only watch one creator for the rest of your life, who would it be?
2019-01-10	What inspires you to create YouTube videos?
2019-01-11	What are your favorite videos by small creators? We'll read all your suggestions and tweet about creators we haven't promoted before! #smallyoutubers
2019-01-16	Who are your favorite animators on YouTube?
2019-01-24	Compliment your favorite creator. #NationalComplimentDay
2019-01-29	Describe your YouTube channel in 3 words.
2019-01-31	In order to have ads on your YouTube videos, you'll want to only select videos to serve ads that comply with the Advertiser-Friendly Guidelines. Learn more about what that means: https://t.co/qDiLewXbnp
2019-02-03	Sunday Share! Post videos you've created this week that you want everyone to see ⬇️
